sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
1361,淡水區,新市二路四段,25.19254,121.44185,25.0,3.2,12.1,0.0,8.5,0.8
1362,淡水區,新市二路四段230巷,25.19087,121.44564,22.0,1.4,9.9,0.0,7.9,1.1
1363,淡水區,新市五義山路口,25.19783,121.43878,60.0,4.0,12.6,0.0,8.1,2.7
1364,淡水區,新市六後洲路口,25.20285,121.4307,15.0,2.9,7.3,0.0,4.0,3.2
1365,淡水區,新市國小,25.185184,121.44444,29.0,2.8,6.0,0.0,2.8,10.3
1366,淡水區,新春街125巷(樂活?社區),25.1827,121.44155,29.0,3.2,7.2,0.0,3.6,6.1
1367,淡水區,新春街125巷(樂活绽社區),25.1827,121.44155,29.0,1.2,11.1,0.0,9.1,1.7
1368,淡水區,新民新春街口,25.18123,121.43567,20.0,3.7,7.4,0.0,0.0,11.0
1369,淡水區,新民街120巷,25.17808,121.43834,15.0,3.5,5.8,0.0,0.0,2.5
1370,淡水區,新民街一段(台北灣社區),25.18536,121.43187,21.0,4.9,12.3,0.0,6.7,2.0
1371,淡水區,正德國中,25.17851,121.44787,40.0,4.2,14.8,0.0,9.9,2.0
1372,淡水區,民族路33巷,25.13604,121.46346,12.0,3.1,7.1,0.0,3.5,2.4
1373,淡水區,民權路3巷12弄口,25.14288,121.46151,21.0,2.3,10.1,0.0,7.4,0.7
1374,淡水區,水碓立體停車場,25.17865,121.44423,15.0,3.4,6.9,0.0,3.0,5.5
1375,淡水區,水管公園,25.19366,121.42059,15.0,1.4,6.9,0.0,4.9,0.3
1376,淡水區,沙崙新民街口,25.18832,121.4296,21.0,4.8,12.3,0.0,6.9,0.3
1377,淡水區,沙崙路151巷口,25.18345,121.42386,26.0,2.0,11.5,0.0,9.2,0.3
1378,淡水區,沙崙路216巷口,25.18428,121.42508,20.0,2.9,9.8,0.0,6.5,0.7
1379,淡水區,淡水中正路停車場,25.17308,121.43586,24.0,3.5,8.2,0.0,4.2,0.4
1380,淡水區,淡水公23公園,25.19985,121.42891,20.0,1.8,7.1,0.0,5.0,1.4
1381,淡水區,淡水國民運動中心,25.1865,121.44326,36.0,3.3,9.7,0.0,5.9,0.0
1382,淡水區,淡水新市鎮兒童公園,25.18509,121.44227,15.0,1.4,7.0,0.0,5.0,1.0
1383,淡水區,淡水老街廣場,25.16891,121.44428,28.0,11.1,17.4,0.0,0.0,0.3
1384,淡水區,淡水行政中心,25.18696,121.44407,10.0,3.5,3.8,0.3,0.0,0.1
1385,淡水區,淡水轉運站,25.17915,121.42153,50.0,0.7,23.8,0.0,21.8,0.0
1386,淡水區,淡江大學(水源街),25.17457,121.45236,29.0,8.7,12.7,0.0,0.0,8.6
1387,淡水區,淡江大橋橋管中心,25.17964,121.42002,40.0,0.8,23.8,0.0,21.8,0.0
1388,淡水區,淡江教會文教中心,25.19548,121.42311,15.0,1.3,6.9,0.0,4.9,0.0
1389,淡水區,淡海路182巷口,25.18459,121.42044,15.0,2.0,8.0,0.0,5.6,0.0
1390,淡水區,淡金路38巷尾,25.16083,121.4579,10.0,5.0,4.3,1.5,0.0,17.2
1391,淡水區,滬尾藝文休閒園區,25.17594,121.42851,28.0,1.2,8.0,0.0,6.0,0.7
1392,淡水區,漁人碼頭,25.18387,121.41118,55.0,1.6,18.8,0.0,16.8,0.0
1393,淡水區,濱海路一段111巷口(西側),25.18928,121.43945,29.0,2.2,10.3,0.0,7.8,0.3
1394,淡水區,濱海路一段306巷60弄,25.19157,121.44198,14.0,3.4,5.9,0.0,0.0,7.9
1395,淡水區,濱海路一段306巷9弄,25.191,121.43858,15.0,1.9,6.8,0.0,4.7,0.6
1396,淡水區,濱海路一段370號,25.18962,121.43942,22.0,1.0,6.6,0.0,4.6,0.4
1397,淡水區,濱海路二段/濱海路二段202巷,25.19015,121.4347,15.0,2.6,7.0,0.0,4.0,1.3
1398,淡水區,濱海路二段202巷,25.19162,121.43477,15.0,3.6,5.5,0.0,0.0,2.5
1399,淡水區,程氏古厝,25.18921,121.42902,15.0,1.4,7.6,0.0,5.6,0.1
1400,淡水區,竹圍公園,25.13823,121.4634,26.0,9.7,11.1,0.0,0.0,9.5
1401,淡水區,竹圍國小,25.14638,121.45989,28.0,0.9,10.4,0.0,8.4,0.1
1402,淡水區,竿蓁市民活動中心,25.16504,121.45069,25.0,4.4,13.4,0.0,8.4,0.8
1403,淡水區,美麗新淡海影城,25.19783,121.43878,41.0,2.8,16.3,0.0,13.1,0.1
1404,淡水區,義山新市一路口,25.18623,121.43736,25.0,2.6,10.6,0.0,7.6,0.7
1405,淡水區,聖約翰科技大學,25.2275,121.45166,30.0,0.3,10.5,0.0,8.5,0.1
1406,淡水區,臺北海洋科技大學,25.1912,121.42746,34.0,5.5,12.2,0.0,5.8,0.1
1407,淡水區,衛教公園,25.17254,121.4407,14.0,1.4,4.7,0.0,2.7,4.7
1408,淡水區,輕軌崁頂站,25.20125,121.43502,16.0,0.5,7.1,0.0,5.1,0.0
1409,淡水區,輕軌崁頂站(西側),25.20153,121.43419,22.0,1.9,10.3,0.0,8.2,0.0
1410,淡水區,輕軌新市一路站,25.18345,121.44837,25.0,4.1,11.9,0.0,7.2,2.7
1411,淡水區,輕軌沙崙站,25.18741,121.41696,36.0,1.2,11.6,0.0,9.6,0.0
1412,淡水區,輕軌淡水行政中心站,25.18916,121.44435,48.0,1.7,12.2,0.0,10.2,0.0
1413,淡水區,輕軌淡江大學站,25.17653,121.45613,40.0,10.4,13.6,0.0,0.0,5.8
1414,淡水區,輕軌淡海新市鎮站,25.19623,121.43286,25.0,3.5,10.1,0.0,6.1,0.0
1415,淡水區,輕軌淡金北新站,25.1808,121.45245,45.0,4.0,18.5,0.0,13.9,0.4
1416,淡水區,輕軌淡金鄧公站,25.16874,121.45936,24.0,0.3,9.9,0.0,7.9,0.1
1417,淡水區,輕軌漁人碼頭站,25.18209,121.41911,61.0,3.3,22.5,0.0,18.7,0.0
1418,淡水區,輕軌濱海沙崙站,25.19039,121.43106,35.0,7.9,19.2,0.0,10.1,0.0
1419,淡水區,輕軌濱海義山站(西南側),25.18961,121.43734,30.0,7.5,14.9,0.0,0.0,0.0
1420,淡水區,輕軌竿蓁林站,25.16206,121.45607,10.0,4.3,5.1,0.0,0.0,11.2
1421,淡水區,輕軌紅樹林站,25.155052,121.45887,48.0,5.7,19.0,0.0,12.4,0.0
1422,淡水區,鄧公路30巷,25.16979,121.45241,15.0,9.4,5.0,5.8,0.0,16.4
1423,深坑區,埔新街61巷口,25.00241,121.61987,15.0,1.4,7.0,0.0,5.0,0.8
1424,深坑區,東南科技大學,25.0033,121.6025,18.0,1.0,9.9,0.0,7.9,0.0
1425,深坑區,深坑區公所(深坑老街),25.0015,121.61631,30.0,1.1,9.0,0.0,7.0,1.3
1426,深坑區,深坑國中,25.00167,121.61889,13.0,2.0,5.1,0.0,2.7,6.8
1427,深坑區,深坑松柏街,25.01096,121.63852,34.0,0.7,13.2,0.0,11.2,0.6
1428,深坑區,深坑雲鄉路,24.99988,121.62101,12.0,1.4,6.4,0.0,4.4,1.4
1429,烏來區,烏來公車總站,24.86652,121.55139,15.0,0.2,5.2,0.0,3.2,1.1
1430,烏來區,烏來老街,24.86493,121.55168,28.0,0.4,7.6,0.0,5.6,0.0
1431,瑞芳區,三貂嶺隧道(金字橋),25.06095,121.82316,30.0,0.6,11.3,0.0,9.3,0.4
1432,瑞芳區,水湳洞停車場,25.12221,121.86443,20.0,0.0,5.9,0.0,3.9,0.0
