sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
761,新莊區,豐年陸橋,25.02967,121.44754,18.0,7.9,8.0,1.1,0.0,1.6
762,新莊區,輔仁大學附設醫院,25.03927,121.431,41.0,19.8,20.8,2.0,0.0,6.6
763,新莊區,遠東動力企業總部,25.03113,121.42999,26.0,8.4,15.1,0.0,0.0,4.4
764,新莊區,遠東動力企業總部(福營路),25.03033,121.43045,30.0,7.7,12.1,0.0,0.0,4.0
765,新莊區,長青公園,25.04246,121.45662,11.0,7.6,6.3,2.4,0.0,0.4
766,新莊區,雙鳳公園,25.02644,121.41398,11.0,5.6,3.2,3.2,0.0,6.1
767,新莊區,頭前國中,25.05444,121.45916,51.0,10.8,8.3,4.1,0.0,3.5
768,新莊區,頭前國小,25.05257,121.46506,46.0,3.6,9.0,0.0,4.8,1.1
769,新莊區,頭前國小(化成路),25.0535,121.46624,12.0,4.9,4.7,0.9,0.0,4.2
770,新莊區,頭前運動公園,25.05165,121.46211,60.0,3.4,8.4,0.0,4.5,1.1
771,新莊區,頭前運動公園(頭前路),25.05237,121.46362,22.0,2.8,6.8,0.0,3.5,1.0
772,新莊區,麗水富貴路口(聯合公園社區),25.05697,121.45162,50.0,3.3,10.9,0.0,7.1,0.1
773,新莊區,黃城公園,25.05238,121.44824,38.0,18.1,9.3,11.5,0.0,0.6
774,新莊區,黃城公園(中榮街),25.05277,121.44883,11.0,4.4,5.9,0.0,0.0,0.7
775,新莊區,龍安成德街口,25.0191,121.42267,12.0,7.2,3.7,4.6,0.0,6.9
776,新莊區,龍安福營路口,25.02022,121.41931,15.0,3.1,2.3,1.2,0.0,17.2
777,新莊區,龍鳳公園,25.021435,121.4169,52.0,3.2,2.8,0.9,0.0,17.1
778,板橋區,三抱竹,24.99864,121.44139,34.0,5.3,10.4,0.0,0.0,1.0
779,板橋區,三民永豐街口,25.02104,121.47917,13.0,5.3,4.7,1.4,0.0,17.8
780,板橋區,三民翠華街口,25.02317,121.48024,10.0,8.3,4.9,4.6,0.0,4.4
